"dataset_id","dataset_name","trial_or_study_name","study_family","intervention_or_treatment_class","omics_layer","disease","specimen_type","anatomical_site","study_design","longitudinal","treatment_metadata","usable_for_treatment_response","sample_size_subjects","data_access_status","reuse_readiness","count_as_independent_cohort","manual_review_needed","dataset_url","publication_url","notes"
"DS043","GSE221161 treatment-naive Crohn FFPE RNA-seq","Pediatric/young Crohn FFPE biopsy RNA-seq biomarker cohort","treatment_naive_Crohn_FFPE_RNAseq_GSE221161","Unclear","Bulk transcriptomics","Crohn disease","FFPE ileal and colonic biopsies","Ileum; colon","Treatment-naive Crohn biomarker cohort","No","Yes","TRUE","Unclear","Public processed data; controlled/planned raw access","Requires access approval","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221161","https://pubmed.ncbi.nlm.nih.gov/38302662/","Treatment-naive Crohn FFPE RNA-seq biomarker cohort; no current overlap evidence with other registry rows."
"DS047","GSE112366 UNITI Crohn ileal biopsy expression","UNITI","UNITI_ustekinumab_Crohn","anti-IL-12/23","Bulk transcriptomics","Crohn disease","Ileal biopsies","Terminal ileum","Treatment trial biopsy cohort","Yes","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112366","https://pubmed.ncbi.nlm.nih.gov/29782846/","Same UNITI/ustekinumab Crohn family as DS107. Public GEO sample titles share CNTO1275CRD3002 UNITI-2 subject identifiers with DS107; direct matrix check confirms 115 overlapping unique subject IDs. Do not count as fully independent from DS107. Not an exact duplicate because DS047 profiles terminal ileum arrays across week 0/week 8/week 44 plus controls."
"DS048","GSE92415 PURSUIT golimumab UC mucosal expression","PURSUIT","PURSUIT-SC_golimumab_UC","anti-TNF","Bulk transcriptomics","Ulcerative colitis","Colonic mucosal biopsies","Colon","Treatment trial biopsy cohort","No","Yes","TRUE","Unclear","Public processed data","Metadata usable","FALSE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92415","https://pubmed.ncbi.nlm.nih.gov/23735746/","PURSUIT-SC golimumab UC mucosal-expression row. Public GEO metadata show GSE92415 contains 87 baseline UC subjects plus week-6 samples from PURSUIT-SC and 21 healthy controls; direct series-matrix subject-ID review found all 87 GSE92415 UC subject IDs also present in DS060/GSE87466, the adult UC/control subseries of DS060/GSE87473. Do not count DS048 as an independent cohort from DS060. DS048 is not assigned component_of_dataset_id=DS060 because it adds week-6 treatment-response samples, while DS060 also includes a distinct pediatric subseries. No public subject-ID overlap was found with DS083/GSE212849/PROgECT, but absence of controlled crosswalk evidence should remain noted."
"DS049","GSE206285 UNIFI ustekinumab UC biopsy expression","UNIFI","UNIFI_ustekinumab_UC","anti-IL-12/23","Bulk transcriptomics","Ulcerative colitis","Sigmoid colon biopsies","Sigmoid colon","Treatment trial biopsy cohort","No","Yes","TRUE","568 subjects total: 550 UC patients plus 18 healthy subjects","Public processed data","Metadata usable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206285","https://pubmed.ncbi.nlm.nih.gov/36192482/","UNIFI randomized placebo-controlled phase 3 ustekinumab UC baseline sigmoid-colon biopsy expression cohort. Count as an independent cohort; no current evidence of subject overlap with Crohn ustekinumab trial rows such as UNITI/CERTIFI."
"DS053","PXD030775 deep phenotyping of UC remission states","Deep phenotyping of ulcerative colitis remission states","UC_deep_phenotyping_remission_multiomics","Unclear","Proteomics; multi-omics context includes plasma proteins, metabolites, and eicosanoids","Ulcerative colitis","Colonic biopsies/tissue; blood plasma","Colon; blood/plasma","Deep phenotyping cohort","No","Unclear","TRUE","Active UC tissue/plasma n=12; additional active UC plasma-only n=4; remission UC n=12; healthy controls n=11","Public PRIDE proteomics; other underlying data shared on reasonable request","Analysis-ready candidate","TRUE","TRUE","https://www.omicsdi.org/dataset/pride/PXD030775","https://pubmed.ncbi.nlm.nih.gov/36961872/","Standalone UC remission-state deep phenotyping mass-spec row; no obvious current registry overlap identified in mass-spec family review."
"DS057","ST002471 PROTECT pediatric UC stool metabolomics","PROTECT","PROTECT_pediatric_UC_metabolomics","Unclear","Metabolomics","Ulcerative colitis","Stool samples","Stool","Longitudinal pediatric UC metabolomics","No","Yes","FALSE","91 subjects","Public raw data; public processed data","Analysis-ready candidate","TRUE","FALSE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002471","https://doi.org/10.1016/j.chom.2023.12.013","PROTECT pediatric UC stool metabolomics layer paired to DS027/ST002470 plasma metabolomics. Public Metabolomics Workbench factors show 89 shared subject/sample IDs with DS027 after stripping the STL prefix, plus two stool-only IDs: 10323 and 10860. Use DS057 as the countable PROTECT metabolomics cohort representative; do not sum DS027 and DS057 as independent cohorts."
"DS060","GSE87473 moderate-to-severe UC mucosal expression","golimumab_UC_pediatric_adult_GSE87473","golimumab_UC_pediatric_adult_GSE87473","anti-TNF","Bulk transcriptomics","Ulcerative colitis; controls","Mucosal biopsies","Colon/intestinal mucosa","UC biopsy expression SuperSeries","No","Unclear","TRUE","Unclear","Public raw data; public processed data","Analysis-ready candidate","TRUE","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87473","https://pubmed.ncbi.nlm.nih.gov/29401083/","Golimumab UC SuperSeries with pediatric GSE87465 and adult GSE87466 components. Direct public series-matrix review found all 87 DS048/GSE92415 PURSUIT-SC baseline UC subject IDs also present in DS060 adult subseries GSE87466, so DS048 should not be summed as an independent cohort from DS060. DS060 remains the broader retained row for this overlapping public subject set; DS083/PROgECT has distinct exposed donor IDs and no public subject-ID overlap with DS060 or DS048."
"DS061","GSE16879 IBD mucosal infliximab response","first_infliximab_IBD_GSE16879","first_infliximab_IBD_GSE16879","anti-TNF","Bulk transcriptomics","IBD; Crohn disease; ulcerative colitis","Mucosal biopsies","Intestinal mucosa","Before/after infliximab treatment cohort","Yes","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16879","Unclear","GSE16879 contains IBD mucosal biopsies sampled before and 4-6 weeks after first infliximab. DS088/GSE73661 contains a 23-patient UC infliximab comparator sampled before and W4-6 after first IFX. Designs and cohort sizes suggest the DS088 IFX comparator may be related to or reprofile a subset of the DS061 UC IFX cohort, but public GEO records use different sample IDs/platforms and no direct subject-ID crosswalk was found. Treat overlap as likely but unconfirmed; do not count the DS061 UC IFX subset and DS088 IFX comparator as independent IFX-response cohorts without manual subject-level confirmation."
"DS062","GSE12251 ACT1 infliximab UC response","ACT1","ACT1_infliximab_UC","anti-TNF","Bulk transcriptomics","Ulcerative colitis","Mucosal biopsies","Colon/intestinal mucosa","Infliximab treatment-response cohort","No","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","FALSE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12251","https://pubmed.ncbi.nlm.nih.gov/19700435/","Component/baseline ACT1 subset of DS106. GSE12251 contains 22 ACT1 patients and 23 pre-infliximab baseline arrays, with patient/timepoint labels matching baseline ACT1 samples in GSE23597; do not count independently from DS106."
"DS063","GSE14580 UC infliximab response mucosal expression","Leuven_infliximab_UC_Gut2009","Leuven_infliximab_UC_Gut2009","anti-TNF","Bulk transcriptomics","Ulcerative colitis","Colonic mucosal biopsies","Colon","Infliximab treatment-response cohort","No","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14580","https://pubmed.ncbi.nlm.nih.gov/19700435/","Distinct Leuven/KULeuven infliximab UC cohort from the same Gut 2009 publication family as GSE12251. GEO lists 24 active UC patients plus 6 controls with Leuven-style sample labels; no source evidence of subject/sample overlap with ACT1/GSE23597."
"DS064","GSE52746 Crohn anti-TNF mucosal expression","anti_TNF_CD_Barcelona_GSE52746","anti_TNF_CD_Barcelona_GSE52746","anti-TNF","Bulk transcriptomics","Crohn disease","Colonic biopsies","Colon/intestinal mucosa","Before/after anti-TNF treatment cohort","Yes","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52746","Unclear","Independent anti-TNF Crohn disease mucosal microarray family. No public evidence of sample or subject overlap with DS061-DS063/DS088."
"DS069","GSE107865 PBMC infliximab response in Crohn","Crohn PBMC expression before infliximab therapy","Gaujoux_IFX_CD_blood_GSE107865","anti-TNF","Bulk transcriptomics","Crohn disease","PBMC","Blood","Baseline infliximab response blood cohort","No","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107865","Unclear","Gaujoux/Gut anti-TNF Crohn blood validation cohort. GEO and the linked paper state 22 Crohn patients had baseline PBMC/whole-blood expression before first infliximab, with W14 response labels. Public sample IDs are HR-* and no public evidence links these subjects to DS061/DS062/DS063/DS064/DS088 mucosal anti-TNF rows. Count as an independent blood validation cohort unless future controlled/source metadata shows reuse."
"DS079","PXD030121 UC infliximab response proteomics","Human intestinal biopsy tissue LC-MS","Zhengzhou_IFX_UC_proteomics_PXD030121","anti-TNF","Proteomics","Ulcerative colitis","Intestinal biopsy tissue","Colon","Treatment-response / severity comparison","No","Yes","TRUE","12","Public raw and search output files","Analysis-ready candidate","TRUE","FALSE","https://www.ebi.ac.uk/pride/archive/projects/PXD030121","https://pubmed.ncbi.nlm.nih.gov/35770079/","Zhengzhou UC intestinal-biopsy proteomics cohort. PRIDE and publication describe 12 UC patients: IFX responders, IFX non-responders, severe UC without IFX history, and mild UC without IFX history. The paper uses public GEO transcriptomic cohorts for validation, but public records do not show subject/sample overlap with DS061/DS062/DS063/DS088/DS106. Count as an independent proteomics cohort; note small n and mixed IFX/severity design."
"DS081","MSV000093975 Crohn diet-intervention stool metaproteomics","Metaproteomics reveals diet-induced changes in gut microbiome function according to Crohn disease location","Crohn_diet_intervention_stool_metaproteomics","Unclear","Metaproteomics","Crohn disease; healthy household controls","Stool samples","Stool","Diet intervention with baseline, week 8, and week 36 stool sampling","Yes","Diet intervention metadata","TRUE","62 analyzed participants; source text also describes 70 enrolled participants before exclusions","Public raw data; article/additional files provide supporting processed outputs","Analysis-ready candidate","TRUE","FALSE","https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000093975","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-024-01927-5","Standalone Crohn diet-intervention stool metaproteomics cohort; no obvious current registry overlap identified in mass-spec family review."
"DS083","GSE212849 PROgECT golimumab UC response microarray","PROgECT_golimumab_UC","PROgECT_golimumab_UC","anti-TNF","Bulk transcriptomics","Ulcerative colitis","Colonic biopsy","Colon; 15 to 20 cm from anal verge","Baseline colon biopsy gene-expression profiling in PROgECT open-label phase 2a golimumab trial","No","Yes","TRUE","84 patients","Public raw data; public processed data","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212849","https://pubmed.ncbi.nlm.nih.gov/36170836/","PROgECT/NCT01988961 golimumab UC screening colon biopsy profiling. Public exposed donor IDs are distinct from DS048/PURSUIT-SC and DS060/GSE87473, with no public subject-ID overlap found; count as independent unless future controlled/source metadata demonstrates shared subjects."
"DS084","E-MTAB-7845 vedolizumab response mucosal RNA-seq","vedolizumab_IBD_mucosal_response_E-MTAB-7845","vedolizumab_IBD_mucosal_response_E-MTAB-7845","anti-integrin","Bulk transcriptomics","Crohn disease; ulcerative colitis","Inflamed colonic mucosal biopsies","Colon; colonic mucosa","Baseline mucosal RNA-seq before vedolizumab therapy; inception and validation cohorts","No","Yes","TRUE","47 patients/samples","Public raw FASTQ data; processed data not deposited in BioStudies","Raw data reusable","TRUE","FALSE","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7845","https://pubmed.ncbi.nlm.nih.gov/31446181/","Baseline mucosal RNA-seq before vedolizumab therapy; no public evidence of subject overlap with GEMINI/DS088, so count as independent with residual trial-source uncertainty."
"DS085","GSE152316 BERGAMOT Crohn etrolizumab biopsy RNA-seq","BERGAMOT_etrolizumab_Crohn","BERGAMOT_etrolizumab_Crohn","anti-integrin; anti-beta7 / anti-integrin","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Ileum; colon; some tissue_site NA in GEO sample titles","Randomized double-blind placebo-controlled 14-week etrolizumab treatment cohort with screening and week 14 intestinal biopsies","Yes","Yes","TRUE","253 unique patient IDs inferred from GEO sample titles; verify before final use","Public processed data only; raw data not provided","Processed data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152316","https://doi.org/10.1016/j.xcrm.2021.100381","BERGAMOT cohort 1 Crohn disease etrolizumab/placebo RNA-seq trial family. Public GEO evidence shows Crohn disease intestinal biopsies from a phase 3 randomized double-blind placebo-controlled 14-week etrolizumab trial, with 382 samples and Patient### identifiers. Treat as independent from DS105/EUCALYPTUS UC unless future controlled/source metadata shows shared participants."
"DS088","GSE73661 vedolizumab and infliximab UC mucosal expression","GEMINI_vedolizumab_UC_with_IFX_comparator","GEMINI_vedolizumab_UC_with_IFX_comparator","anti-TNF; anti-integrin","Bulk transcriptomics","Ulcerative colitis; non-IBD controls","Colonic mucosal biopsies","Colon","Phase 3 trial-linked longitudinal treatment-response mucosal expression study with VDZ and IFX comparison","Yes","Vedolizumab; infliximab; placebo; week 0, week 4-6, week 6, week 12, week 52; responder/non-responder by endoscopic mucosal healing","TRUE","44 UC patients in VDZ trials; 23 UC patients in IFX comparison; 12 non-IBD controls","Public raw CEL files; public processed GEO data","Processed data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73661","https://pubmed.ncbi.nlm.nih.gov/27802155/","DS088/GSE73661 contains a 23-patient UC infliximab comparator sampled before and W4-6 after first IFX in addition to the GEMINI vedolizumab UC material. DS061/GSE16879 contains UC patients sampled before and 4-6 weeks after first IFX. Designs and cohort sizes suggest the DS088 IFX comparator may be related to or reprofile a subset of the DS061 UC IFX cohort, but public GEO records use different sample IDs/platforms and no direct subject-ID crosswalk was found. Treat overlap as likely but unconfirmed; do not count DS088 IFX comparator and the DS061 UC IFX subset as independent IFX-response cohorts without manual subject-level confirmation."
"DS091","E-MTAB-7604 anti-TNF inflamed intestinal mucosa RNA-seq","anti_TNF_TREM1_Leuven_RNAseq_E-MTAB-7604","anti_TNF_TREM1_Leuven_RNAseq_E-MTAB-7604","anti-TNF","Bulk transcriptomics","Inflammatory bowel disease; Crohn disease and ulcerative colitis noted in study description","Inflamed intestinal mucosal samples; ulcer sampling site","Colon; ileum","Anti-TNF responder vs non-responder mucosal RNA-seq comparison","Unclear","Adalimumab; infliximab; responder/non-responder clinical history","TRUE","Unclear","Public raw FASTQ via ENA; public processed count files via ArrayExpress FTP","Analysis-ready candidate","TRUE","FALSE","https://www.ebi.ac.uk/ena/browser/view/E-MTAB-7604","https://pubmed.ncbi.nlm.nih.gov/30685385/","Prospective Leuven TREM1 anti-TNF mucosal RNA-seq cohort. BioStudies/SDRF list 44 adult IBD ulcer-edge samples, infliximab or adalimumab, colon/ileum, responder/non-responder, with GC*.count sample names and ERR3079558-ERR3079601 runs. Same broad Leuven/TARGID environment as DS061/DS063/DS088, but public metadata show a later RNA-seq cohort with different sample IDs/platform and no direct subject crosswalk. Count as likely independent, with residual uncertainty because public subject IDs are not exposed."
"DS102","GSE100833 ustekinumab Crohn blood and intestinal biopsy microarray","CERTIFI_ustekinumab_Crohn","CERTIFI_ustekinumab_Crohn","anti-TNF; anti-IL-12/23","Bulk transcriptomics","Crohn disease; inflammatory bowel disease; normal/control samples also appear in GEO sample metadata","Intestinal biopsies; whole blood","Multiple intestinal regions including ascending colon, terminal ileum, rectum; blood","Phase 2b multicenter randomized double-blind placebo-controlled ustekinumab Crohn disease study; baseline blood and intestinal biopsy expression profiling","Unclear","Yes; ustekinumab trial context, but public sample-level treatment fields are heterogeneous and need deeper parsing","TRUE","Unclear overall; GEO design states 87 biopsy patients and 204 blood-sampled patients","Public raw CEL files and processed GEO matrix data","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100833","https://doi.org/10.1038/ng.3947","CERTIFI phase 2b ustekinumab Crohn family row. Public GEO evidence supports anti-TNF-refractory Crohn patients in a phase 2b ustekinumab trial with intestinal biopsy and blood microarray samples. Distinct trial family from UNITI/IM-UNITI rows DS047/DS107; no public evidence of subject/sample overlap with UNITI rows. Count as an independent cohort family, but do not interpret DS102 sample count as independent subjects because it includes multiple tissues/timepoints/sample records."
"DS105","GSE72819 etrolizumab UC baseline biopsy RNA-seq","EUCALYPTUS_etrolizumab_UC","EUCALYPTUS_etrolizumab_UC","anti-TNF; anti-integrin; anti-beta7 / anti-integrin","Bulk transcriptomics","Ulcerative colitis","Baseline colonic biopsies","Colon","Baseline predictor study for week 10 clinical remission after etrolizumab","No","Yes; etrolizumab study, remission at week 10, prior anti-TNF and TNF-IR metadata","TRUE","73 patients/samples inferred from one baseline biopsy per GEO sample","Public raw SRA and per-sample processed count/RPKM files","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72819","https://doi.org/10.1053/j.gastro.2015.10.041","EUCALYPTUS phase II etrolizumab ulcerative colitis baseline biopsy RNA-seq trial family. Public GEO evidence shows baseline colonic biopsies from UC patients enrolled in the phase II EUCALYPTUS study, 73 samples with HF-* sample identifiers, and week-10 remission context. Treat as independent from DS085/BERGAMOT Crohn unless future controlled/source metadata shows shared participants."
"DS106","GSE23597 infliximab UC colonic biopsy microarray","ACT1_infliximab_UC","ACT1_infliximab_UC","anti-TNF","Bulk transcriptomics","Ulcerative colitis","Colonic biopsies","Colon","Longitudinal treatment-response substudy: placebo or infliximab 5 mg/kg or 10 mg/kg at baseline, week 8, and week 30","Yes","Yes; infliximab/placebo dose, timepoint, week 8 and week 30 response metadata","TRUE","48 patients","Public CEL files and GEO processed data","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23597","https://doi.org/10.1038/ajg.2011.83","Primary ACT1 infliximab UC dataset row. GSE23597 contains 48 ACT1 patients and 113 colonic biopsy arrays across baseline, week 8, and week 30; baseline patient/timepoint labels overlap the ACT1 subset represented by GSE12251."
"DS107","GSE207022 UNITI-2 Crohn rectal biopsy ustekinumab expression","UNITI","UNITI_ustekinumab_Crohn","anti-IL-12/23","Bulk transcriptomics","Crohn disease; healthy controls","Rectal biopsy","Rectum","UNITI-2 phase 3 baseline rectal biopsy expression with week-8 mucosal-healing outcome metadata","No expression time series evident; baseline expression with later outcome metadata","Ustekinumab 130 mg IV; ustekinumab 6 mg/kg; placebo IV; week 0 biopsy; week 8 mucosal healing outcome","TRUE","148 subjects/samples: 125 moderate-to-severe Crohn disease patients and 23 non-IBD subjects","Public raw CEL files; public processed GEO data","Processed data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207022","https://pubmed.ncbi.nlm.nih.gov/36170836/","Same UNITI/ustekinumab Crohn family as DS047. Public GEO sample titles share CNTO1275CRD3002 UNITI-2 subject identifiers with DS047; direct matrix check confirms 115 overlapping unique subject IDs. Do not count as fully independent from DS047. Not an exact duplicate because DS107 profiles week-0 rectum biopsy arrays plus controls."
